,Bases_sequenced,BamFile,Proportion_Genome_At_10x,primerset
130,824007969,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998762406,WbD
131,836309451,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998797901,WbD
132,848575693,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998879934,WbD
133,860894031,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998892554,WbD
134,873211176,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99892726,WbD
135,885492619,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998941458,WbD
136,11563,WbD-20-sg-3_S4_L001.Fg_only.bam,0,WbD
137,12334283,WbD-20-sg-3_S4_L001.Fg_only.bam,0.098452258,WbD
138,24627424,WbD-20-sg-3_S4_L001.Fg_only.bam,0.317269057,WbD
139,36928692,WbD-20-sg-3_S4_L001.Fg_only.bam,0.500735931,WbD
140,49256477,WbD-20-sg-3_S4_L001.Fg_only.bam,0.638296647,WbD
141,61568722,WbD-20-sg-3_S4_L001.Fg_only.bam,0.737813757,WbD
142,73898939,WbD-20-sg-3_S4_L001.Fg_only.bam,0.809607645,WbD
143,86154310,WbD-20-sg-3_S4_L001.Fg_only.bam,0.857011694,WbD
144,98468467,WbD-20-sg-3_S4_L001.Fg_only.bam,0.891818152,WbD
145,110849290,WbD-20-sg-3_S4_L001.Fg_only.bam,0.915290641,WbD
146,123120775,WbD-20-sg-3_S4_L001.Fg_only.bam,0.93436411,WbD
147,135454769,WbD-20-sg-3_S4_L001.Fg_only.bam,0.945280024,WbD
148,147784486,WbD-20-sg-3_S4_L001.Fg_only.bam,0.953943975,WbD
149,160012236,WbD-20-sg-3_S4_L001.Fg_only.bam,0.962766469,WbD
150,172422276,WbD-20-sg-3_S4_L001.Fg_only.bam,0.969204485,WbD
151,184695706,WbD-20-sg-3_S4_L001.Fg_only.bam,0.972488172,WbD
152,196994555,WbD-20-sg-3_S4_L001.Fg_only.bam,0.97526783,WbD
153,209304399,WbD-20-sg-3_S4_L001.Fg_only.bam,0.978488415,WbD
154,221551821,WbD-20-sg-3_S4_L001.Fg_only.bam,0.980918644,WbD
155,233909175,WbD-20-sg-3_S4_L001.Fg_only.bam,0.98311776,WbD
156,246251595,WbD-20-sg-3_S4_L001.Fg_only.bam,0.984473671,WbD
157,258595760,WbD-20-sg-3_S4_L001.Fg_only.bam,0.987128702,WbD
158,270865352,WbD-20-sg-3_S4_L001.Fg_only.bam,0.986679098,WbD
159,283171070,WbD-20-sg-3_S4_L001.Fg_only.bam,0.988410468,WbD
160,295541622,WbD-20-sg-3_S4_L001.Fg_only.bam,0.990048762,WbD
161,307795450,WbD-20-sg-3_S4_L001.Fg_only.bam,0.991225621,WbD
162,320091820,WbD-20-sg-3_S4_L001.Fg_only.bam,0.991907126,WbD
163,332378297,WbD-20-sg-3_S4_L001.Fg_only.bam,0.992374083,WbD
164,344738748,WbD-20-sg-3_S4_L001.Fg_only.bam,0.993673202,WbD
165,357019957,WbD-20-sg-3_S4_L001.Fg_only.bam,0.993134466,WbD
166,369225977,WbD-20-sg-3_S4_L001.Fg_only.bam,0.993882229,WbD
167,381641436,WbD-20-sg-3_S4_L001.Fg_only.bam,0.994077846,WbD
168,393931189,WbD-20-sg-3_S4_L001.Fg_only.bam,0.994719124,WbD
169,406231066,WbD-20-sg-3_S4_L001.Fg_only.bam,0.994738054,WbD
170,418470170,WbD-20-sg-3_S4_L001.Fg_only.bam,0.995511058,WbD
171,430865196,WbD-20-sg-3_S4_L001.Fg_only.bam,0.995683012,WbD
172,443196164,WbD-20-sg-3_S4_L001.Fg_only.bam,0.996317979,WbD
173,455477518,WbD-20-sg-3_S4_L001.Fg_only.bam,0.996389758,WbD
174,467869975,WbD-20-sg-3_S4_L001.Fg_only.bam,0.996731299,WbD
175,480208794,WbD-20-sg-3_S4_L001.Fg_only.bam,0.996904042,WbD
176,492499068,WbD-20-sg-3_S4_L001.Fg_only.bam,0.996839362,WbD
177,504730519,WbD-20-sg-3_S4_L001.Fg_only.bam,0.996675296,WbD
178,517165040,WbD-20-sg-3_S4_L001.Fg_only.bam,0.997115435,WbD
179,529402827,WbD-20-sg-3_S4_L001.Fg_only.bam,0.997226653,WbD
