,bases_sequenced,File_name,Proportion_genome_covered_10x,primerset
133,221005403,1482488-B_S15_L001_MTBH37RV.fasta.sam.bam,0.00643926,1482488
134,11612,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0,1482488
135,11755632,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.000158902,1482488
136,23513821,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.000361779,1482488
137,35290394,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.000554909,1482488
138,47045608,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.000751213,1482488
139,58785458,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.001000559,1482488
140,70572678,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.001326977,1482488
141,82316217,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.001554335,1482488
142,94075128,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.001922235,1482488
143,105831297,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.002199009,1482488
144,117588692,1482488-C_S27_L001_MTBH37RV.fasta.sam.bam,0.002440875,1482488
145,12180,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0,1558358
146,12136431,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.000766627,1558358
147,24276930,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.001984798,1558358
148,36382465,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.002891513,1558358
149,48523179,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.004817827,1558358
150,60648572,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.006556679,1558358
151,72793505,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.008452166,1558358
152,84884832,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.010614907,1558358
153,97059179,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.012417455,1558358
154,109143767,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.015049647,1558358
155,121266603,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.017976975,1558358
156,133404247,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.020742001,1558358
157,145538925,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.024912207,1558358
158,157627080,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.028139884,1558358
159,169787270,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.032251835,1558358
160,181905894,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.034711978,1558358
161,194046932,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.038602009,1558358
162,206124574,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.042502695,1558358
163,218233374,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.046249466,1558358
164,230407182,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.049778399,1558358
165,242558330,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.054325345,1558358
166,254690350,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.058336877,1558358
167,266769067,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.063037965,1558358
168,278851860,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.066747787,1558358
169,291023226,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.07222593,1558358
170,303125775,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.075938472,1558358
171,315304828,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.080851051,1558358
172,327406624,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.084352556,1558358
173,339527293,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.088852127,1558358
174,351602111,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.093155167,1558358
175,363776370,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.097932419,1558358
176,375893381,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.102354466,1558358
177,388002414,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.106594716,1558358
178,400126909,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.110653623,1558358
179,412284962,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.115229358,1558358
180,424398852,1558358-A-Reseq_S1_L001_MTBH37RV.fasta.bam,0.119609016,1558358
181,12352,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0,1558358
182,12417560,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.001056096,1558358
183,24845380,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.00220853,1558358
184,37233278,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.003879378,1558358
185,49659057,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.005695754,1558358
186,62079404,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.008040291,1558358
187,74495044,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.010919789,1558358
188,86881946,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.014047954,1558358
189,99301131,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.017053486,1558358
190,111700298,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.020090526,1558358
191,124126688,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.023552589,1558358
192,136486846,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.027267852,1558358
193,148966508,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.031470927,1558358
194,161343882,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.036191736,1558358
195,173750086,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.040943826,1558358
196,186118359,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.044894381,1558358
197,198605062,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.049885618,1558358
198,210998664,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.054901336,1558358
199,223409942,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.059805981,1558358
200,235794695,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.065376382,1558358
201,248211514,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.071071002,1558358
202,260634445,1558358-B-Reseq_S2_L001_MTBH37RV.fasta.bam,0.076078106,1558358
203,11460,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0,1558358
204,12253904,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.000884953,1558358
205,24541625,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.001781921,1558358
206,36823822,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.003317895,1558358
207,49071310,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.00568034,1558358
208,61314951,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.007715234,1558358
209,73595135,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.010264235,1558358
210,85856155,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.012587691,1558358
211,98110531,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.015418,1558358
212,110374607,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.019120569,1558358
213,122630941,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.021717626,1558358
214,134927694,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.025237491,1558358
215,147177809,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.028650818,1558358
216,159404383,1558358-C-Reseq_S3_L001_MTBH37RV.fasta.bam,0.032684111,1558358
